A Tale of Vengeance>A Tale of Vengeance>2008>HSRS - PG (Parental Guidance)>AlexDC22>>Beat-'Em-Up
Guilty Gear - The Crusades>Guilty Gear: The Crusades>2006>HSRS - PG (Parental Guidance)>ShinZombie>>Beat-'Em-Up
Hatchet Ninjaz>Hatchet Ninjaz>2004>HSRS - PG (Parental Guidance)>Vision>>Beat-'Em-Up
Hyper Final Fight 2>Hyper Final Fight 2>2004>HSRS - PG (Parental Guidance)>Mr.Q®>>Beat-'Em-Up
Hyper Final Fight 3 - Return of the Black>Hyper Final Fight 3: Return of the Black>2010>HSRS - PG (Parental Guidance)>Shin Kazahara>>Beat-'Em-Up
Jennifer>Jennifer>2010>HSRS - 17 (17+)>Masterderico>>Beat-'Em-Up
Joe and Mac - Caveman Ninja>Joe and Mac: Caveman Ninja>2004>HSRS - PG (Parental Guidance)>BonusJZ>>Beat-'Em-Up
Knights & Dragons - Final Cut>Knights & Dragons: Final Cut>2010>HSRS - PG (Parental Guidance)>Pierwolf >>Beat-'Em-Up
Maplevania>Maplevania>2009>HSRS - PG (Parental Guidance)>NickyP>>Beat-'Em-Up
Marvel Super Heroes>Marvel Super Heroes>2008>HSRS - PG (Parental Guidance)>bWWd>>Beat-'Em-Up
Mega Sonic>Mega Sonic>2006>HSRS - PG (Parental Guidance)>CyberSoulX>>Beat-'Em-Up
MegaMan - War of the Past>MegaMan: War of the Past>2005>HSRS - PG (Parental Guidance)>DCSteve>>Beat-'Em-Up
MegaMan - Xtreme Legend>MegaMan: Xtreme Legend>2006>HSRS - PG (Parental Guidance)>Xenox>>Beat-'Em-Up
Mortal Kombat Outworld Assassins>Mortal Kombat Outworld Assassins>2010>HSRS - PG (Parental Guidance)>Maggas>>Beat-'Em-Up
Mortal Kombat Unlimited>Mortal Kombat Unlimited>2009>HSRS - PG (Parental Guidance)>Maggas>>Beat-'Em-Up
Night Slashers X>Night Slashers X>2009>HSRS - PG (Parental Guidance)>BonusJZ>>Beat-'Em-Up
Rage of the Streets>Rage of the Streets>2005>HSRS - PG (Parental Guidance)>AxelBlazeAdam>>Beat-'Em-Up
Return of the Double Dragon>Return of the Double Dragon>2007>HSRS - PG (Parental Guidance)>Mr.Q®>>Beat-'Em-Up
Rhythm of Destruction 2 - Green Edition>Rhythm of Destruction 2: Green Edition>2006>HSRS - PG (Parental Guidance)>Mr.Q® / King Herb>>Beat-'Em-Up
Rhythm of Destruction 2 - Red Edition>Rhythm of Destruction 2: Red Edition>2005>HSRS - PG (Parental Guidance)>Mr.Q® / King Herb>>Beat-'Em-Up
Rocket Viper>Rocket Viper>2010>HSRS - PG (Parental Guidance)>Volcanic>>Beat-'Em-Up
Sailor Moon>Sailor Moon>2006>HSRS - PG (Parental Guidance)>KungPow Productions>>Beat-'Em-Up
Shiva & Lisa 3>Shiva & Lisa 3>2009>HSRS - PG (Parental Guidance)>Masterderico Productions>>Beat-'Em-Up
Skull Kingz Remake>Skull Kingz Remake>2010>HSRS - PG (Parental Guidance)>Skull Kingz>>Beat-'Em-Up
Splatterhouse 1 - Deception of the Mask>Splatterhouse 1: Deception of the Mask>2008>HSRS - PG (Parental Guidance)>Cuchara>>Beat-'Em-Up
Splatterhouse 2 - Journey Through Hell>Splatterhouse 2: Journey Through Hell>2008>HSRS - PG (Parental Guidance)>Cuchara>>Beat-'Em-Up
Splatterhouse 3 - Back to Light>Splatterhouse 3: Back to Light>2008>HSRS - PG (Parental Guidance)>Cuchara>>Beat-'Em-Up
Street Fighter - Beats of Rage Remix II>Street Fighter: Beats of Rage Remix II>2005>HSRS - PG (Parental Guidance)>Mr.Q® / King Herb>>Beat-'Em-Up
Strider X>Strider X>2006>HSRS - PG (Parental Guidance)>VisioN>>Beat-'Em-Up
Super Fightin' Spirit>Super Fightin' Spirit>2010>HSRS - PG (Parental Guidance)>bWWd>>Beat-'Em-Up
Valdivia City Ransom>Valdivia City Ransom>2009>HSRS - PG (Parental Guidance)>Miracle Kidz>>Beat-'Em-Up
X-Men>X-Men>2005>HSRS - PG (Parental Guidance)>VicViper / KungPow>>Beat-'Em-Up
