1942 (Japan)>1942 (Japan)>1986>Other - NR (Not Rated)>ASCII>>Shoot-'Em-Up
Fire Ball (Japan)>Fire Ball (Japan)>1988>Other - NR (Not Rated)>Hummingbird Soft>>Pinball
Fleet Commander II - Koukon no Kaiiki (Japan)>Fleet Commander II - Koukon no Kaiiki (Japan)>1990>Other - NR (Not Rated)>ASCII>>Strategy
Gakuen Monogatari - High School Story (Japan)>Gakuen Monogatari - High School Story (Japan)>1988>Other - NR (Not Rated)>Great>>Adventure
Gambler Jiko Chuushinha 2 - Jishou! Kyougou Janshi Hen (Japan)>Gambler Jiko Chuushinha 2 - Jishou! Kyougou Janshi Hen (Japan)>1989>Other - NR (Not Rated)>Game Arts>>Tabletop
Ganbare Goemon! - Karakuri Douchuu (Japan)>Ganbare Goemon! - Karakuri Douchuu (Japan)>1987>Other - NR (Not Rated)>Konami>>Action
Garyuu Ou (Japan)>Garyuu Ou (Japan)>1987>Other - NR (Not Rated)>XAIN>>Action
Gekitotsu Pennant Race - Pro Yakyuu, The (Japan)>Gekitotsu Pennant Race - Pro Yakyuu, The (Japan)>1988>Other - NR (Not Rated)>Konami>>Sports
Gekitotsu Pennant Race 2 (Japan) (English Menu)>Gekitotsu Pennant Race 2 (Japan) (English Menu)>1989>Other - NR (Not Rated)>Konami>>Sports
Girly Block (Japan)>Girly Block (Japan)>1988>Other - NR (Not Rated)>Compile / Nippon Telenet>>Action
Gitahei (Japan)>Gitahei (Japan)>1986>Other - NR (Not Rated)>Micro Cabin>>Tabletop
Go Othello. Connect Stones (Japan)>Go Othello. Connect Stones (Japan)>1990>Other - NR (Not Rated)>Konami>>Tabletop
Hacker (Japan)>Hacker (Japan)>1988>Other - NR (Not Rated)>Pony Canyon>>Adventure
Hai no Majutsushi (Japan)>Hai no Majutsushi (Japan)>1989>Other - NR (Not Rated)>Konami>>Tabletop
Han Seimei Senki Andorogynus (Japan)>Han Seimei Senki Andorogynus (Japan)>1987>Other - NR (Not Rated)>Telenet Japan Co., Ltd.>>Action
Hard Ball (Japan)>Hard Ball (Japan)>1987>Other - NR (Not Rated)>SCEI>>Sports
Heroes of the Lance (Japan)>Heroes of the Lance (Japan)>1991>Other - NR (Not Rated)>Pony Canyon>>Role-Playing
Higemaru Makai Shima - Nanatsu no Shima Daibouken (Japan)>Higemaru Makai Shima - Nanatsu no Shima Daibouken (Japan)>1987>Other - NR (Not Rated)>Compile / Capcom>>Action
High School! Kimengumi (Japan)>High School! Kimengumi (Japan)>1987>Other - NR (Not Rated)>Pony Canyon>>Action
Hinotori - Houou Hen (Japan)>Hinotori - Houou Hen (Japan)>1987>Other - NR (Not Rated)>Konami>>Shoot-'Em-Up
Hole in One Special (Japan)>Hole in One Special (Japan)>1986>Other - NR (Not Rated)>Hal>>Sports
Hydlide 3 - The Space Memories (Japan)>Hydlide 3 - The Space Memories (Japan)>1987>Other - NR (Not Rated)>TE Soft>>Role-Playing
Hyper Somen (Japan)>Hyper Somen (Japan)>1989>Other - NR (Not Rated)>Konami>>Miscellaneous
Ide Yousuke Meijin no Jissen Mahjong (Japan)>Ide Yousuke Meijin no Jissen Mahjong (Japan)>1988>Other - NR (Not Rated)>Pack-In-Video>>Mahjong
Ikari (Japan)>Ikari (Japan)>1987>Other - NR (Not Rated)>SNK>>Shooter
Inindou - Datou Nobunaga (Japan)>Inindou - Datou Nobunaga (Japan)>1991>Other - NR (Not Rated)>Koei>>Role-Playing
Ishin no Arashi (Japan)>Ishin no Arashi (Japan)>1989>Other - NR (Not Rated)>Koei>>Strategy
Jansei (Japan)>Jansei (Japan)>1986>Other - NR (Not Rated)>Chatnoir / Sony Corporation>>Tabletop
Janyuu (Japan)>Janyuu (Japan)>1986>Other - NR (Not Rated)>SCEE>>Mahjong
Kenpelen Chess (Japan)>Kempelen Chess (Japan)>1988>Other - NR (Not Rated)>Pony Canyon>>Tabletop
Kikikai-kai (Japan)>Kikikai-kai (Japan)>1987>Other - NR (Not Rated)>Pixel / SCEI>>Shooter
King Kong 2 - Yomigaeru Densetsu (Japan)>King Kong 2 - Yomigaeru Densetsu (Japan)>1987>Other - NR (Not Rated)>Konami>>Action
King Kong 2 - Yomigaeru Densetsu (Japan)(Translated En)>King Kong 2 - Yomigaeru Densetsu (Japan)(Translated En) (Japan)>1987>Other - NR (Not Rated)>Konami>>Action
King's Valley II - The Seal of El Giza (Japan)>King's Valley II - The Seal of El Giza (Japan)>1988>Other - NR (Not Rated)>Konami>>Action
King's Valley II - The Seal of El Giza - Edit Contest Version (Japan)>King's Valley II - The Seal of El Giza - Edit Contest Version (Japan)>1988>Other - NR (Not Rated)>Konami>>Action
Kisei (Japan)>Kisei (Japan)>1987>Other - NR (Not Rated)>SCEI>>Tabletop
Koji Tanigawa's Shougi Shinan II (Japan)>Koji Tanigawa's Shougi Shinan II (Japan)>1988>Other - NR (Not Rated)>Pony Canyon>>Tabletop
Koronis Rift (Europe)>Koronis Rift (Europe)>1987>Other - NR (Not Rated)>Pony Canyon>>Action
Kyoto Ryu no Tera Satsujin Jiken (Japan)>Kyoto Ryu no Tera Satsujin Jiken (Japan)>1988>Other - NR (Not Rated)>Taito>>Adventure
Labyrinth (Japan)>Labyrinth (Japan)>1987>Other - NR (Not Rated)>Pack-In-Video>>Shooter
Livingstone Supongo (Japan)>Livingstone Supongo (Japan)>1987>Other - NR (Not Rated)>Opera Soft>>Platform
Lupin Sansei - Babylon no Ougon Densetsu (Japan)>Lupin Sansei - Babylon no Ougon Densetsu (Japan)>1988>Other - NR (Not Rated)>Toho>>Platform
Lupin Sansei - Cagliostro no Shiro (Japan)>Lupin Sansei - Cagliostro no Shiro (Japan)>1987>Other - NR (Not Rated)>Toho>>Platform
Mad Rider (Japan)>Mad Rider (Japan)>1987>Other - NR (Not Rated)>Carry Lab>>Driving
Maison Ikkoku - Kanketsu Hen - Sayonara, Soshite... (Japan)>Maison Ikkoku - Kanketsu Hen - Sayonara, Soshite... (Japan)>1988>Other - NR (Not Rated)>Micro Cabin>>Adventure
Maison Ikkoku - Omoide no Photograph (Japan)>Maison Ikkoku - Omoide no Photograph (Japan)>1987>Other - NR (Not Rated)>Micro Cabin>>Adventure
Malaya no Hibou (Japan)>Malaya no Hibou (Japan)>1988>Other - NR (Not Rated)>Pony Canyon>>Action
Metal Gear (Europe)>Metal Gear (Europe)>1987>Other - NR (Not Rated)>Konami>>Action
Metal Gear (Japan)>Metal Gear (Japan)>1987>Other - NR (Not Rated)>Konami>>Action
Metal Gear 2 - Solid Snake (Japan)>Metal Gear 2 - Solid Snake (Japan)>1990>Other - NR (Not Rated)>Konami>>Action
Metal Gear 2 - Solid Snake (Japan) (Demo)>Metal Gear 2 - Solid Snake (Japan) (Demo)>1990>Other - NR (Not Rated)>Konami>>Action
Metal Gear 2 - Solid Snake (Japan)(Translated En)>Metal Gear 2 - Solid Snake (Japan)(Translated En)>1990>Other - NR (Not Rated)>Konami>>Action
Mirai (Japan)>Mirai (Japan)>1987>Other - NR (Not Rated)>XAIN>>Role-Playing
Mississippi Satsujinjiken (Japan)>Mississippi Satsujinjiken (Japan)>1987>Other - NR (Not Rated)>Jaleco Entertainment>>Adventure
Moero!! Nettou Yakyuu '88 (Japan)>Moero!! Nettou Yakyuu '88 (Japan)>1988>Other - NR (Not Rated)>Jaleco Entertainment>>Sports
Monmon Kaibutsu (Japan)>Monmon Kaibutsu (Japan)>1989>Other - NR (Not Rated)>Hot-B>>Action
Nekketsu Juudou (Japan)>Nekketsu Juudou (Japan)>1989>Other - NR (Not Rated)>Opera House / Pony Canyon>>Sports
Ninja-kun - Asura no Shou (Japan)>Ninja-kun - Asura no Shou (Japan)>1987>Other - NR (Not Rated)>Opera House / HAL Labs>>Action
Nobunaga no Yabou - Zenkoku Ban (Japan)>Nobunaga no Yabou - Zenkoku Ban (Japan)>1987>Other - NR (Not Rated)>Koei>>Strategy
Nobunaga no Yabou 2 - Sengoku Gunyuu Den (Japan)>Nobunaga no Yabou 2 - Sengoku Gunyuu Den (Japan)>1989>Other - NR (Not Rated)>Koei>>Strategy
Nobunaga no Yabou 3 - Bushou Fuuun Roku (Japan)>Nobunaga no Yabou 3 - Bushou Fuuun Roku (Japan)>1991>Other - NR (Not Rated)>Koei>>Strategy
Ogre (Japan)>Ogre (Japan)>1987>Other - NR (Not Rated)>SystemSoft>>Action
Out Run (Japan)>Out Run (Japan)>1988>Other - NR (Not Rated)>Bedrock Software / US Gold>>Driving
Pac-Mania (Japan)>Pac-Mania (Japan)>1989>Other - NR (Not Rated)>Namco>>Action
Pachi Pro Densetsu (Japan)>Pachi Pro Densetsu (Japan)>1989>Other - NR (Not Rated)>Hal>>Miscellaneous
Penguin-kun Wars 2 (Japan)>Penguin-kun Wars 2 (Japan)>1988>Other - NR (Not Rated)>ASCII Entertainment>>Action
Penguin-kun Wars 2 (Japan)(Translated En)>Penguin-kun Wars 2 (Japan)(Translated En)>1988>Other - NR (Not Rated)>ASCII Entertainment>>Action
Persevere Goemon! A Tricky Journey (Japan)(Translated En)>Persevere Goemon! A Tricky Journey (Japan)(Translated En)>1987>Other - NR (Not Rated)>Konami>>Action
Predator (Japan)>Predator (Japan)>1988>Other - NR (Not Rated)>Pack-In-Video>>Shooter
Pro Yakyuu Family Stadium - Pennant Race (Japan)>Pro Yakyuu Family Stadium - Pennant Race (Japan)>1989>Other - NR (Not Rated)>Compile / Namco>>Sports
Pro Yakyuu Fan - Telenet Stadium (Japan)>Pro Yakyuu Fan - Telenet Stadium (Japan)>1987>Other - NR (Not Rated)>Nippon Telenet>>Action
Professional Mahjong Gokuu (Japan)>Professional Mahjong Gokuu (Japan)>1988>Other - NR (Not Rated)>Chat Noir>>Mahjong
Project A2 - Shijousaidai no Hyouteki (Japan)>Project A2 - Shijousaidai no Hyouteki (Japan)>1987>Other - NR (Not Rated)>Opera House / Pony Canyon>>Action
Quarth (Japan)>Quarth (Japan)>1990>Other - NR (Not Rated)>Konami>>Puzzle
Quarth (Japan) (Demo)>Quarth (Japan) (Demo)>1990>Other - NR (Not Rated)>Konami>>Puzzle
Quarth (Korea)>Quarth (Korea)>1990>Other - NR (Not Rated)>Konami>>Puzzle
Quinpl (Japan)>Quinpl (Japan)>1988>Other - NR (Not Rated)>Bit2>>Action
Rastan Saga (Japan)>Rastan Saga (Japan)>1988>Other - NR (Not Rated)>Taito Corporation>>Platform
Relics (Japan)>Relics (Japan)>1988>Other - NR (Not Rated)>Bothtec / Eaglesoft>>Action
Replicart (Japan)>Replicart (Japan)>1987>Other - NR (Not Rated)>Dual / SCEI>>Action
Return of Ishtar, The (Japan)>Return of Ishtar, The (Japan)>1988>Other - NR (Not Rated)>Namco>>Action
Return of Jelda (Japan)>Return of Jelda (Japan)>1987>Other - NR (Not Rated)>Carry Lab>>Action
Rick to Mick no Daibouken (Japan)>Rick to Mick no Daibouken (Japan)>1987>Other - NR (Not Rated)>Hummingbird Soft>>Action
Royal Blood (Japan)>Royal Blood (Japan)>1991>Other - NR (Not Rated)>Koei>>Strategy
Sangokushi (Japan)>Sangokushi (Japan)>1986>Other - NR (Not Rated)>Koei>>Strategy
Sangokushi II (Japan)>Sangokushi II (Japan)>1990>Other - NR (Not Rated)>Koei>>Strategy
Scramble Formation (Japan)>Scramble Formation (Japan)>1987>Other - NR (Not Rated)>Taito Corporation>>Shoot-'Em-Up
Seigimatsu II Special Attack Devil (Japan)>Seigimatsu II Special Attack Devil (Japan)>1987>Other - NR (Not Rated)>Sony>>Action
Shanghai (Japan)>Shanghai (Japan)>1987>Other - NR (Not Rated)>System Soft / Activision>>Mahjong
Shirei Sensen - War of the Dead (Japan)>Shirei Sensen - War of the Dead (Japan)>1988>Other - NR (Not Rated)>Fun Factory>>Role-Playing
Space Manbow (Japan)>Space Manbow (Japan)>1989>Other - NR (Not Rated)>Konami>>Shoot-'Em-Up
Star Virgin (Japan)>Star Virgin (Japan)>1988>Other - NR (Not Rated)>Marionette / Pony Canyon>>Action
Strategic Mars (Japan)>Strategic Mars (Japan)>1988>Other - NR (Not Rated)>DB Soft>>Shooter
Suikoden - Tenmei no Chikai (Japan)>Suikoden - Tenmei no Chikai (Japan)>1988>Other - NR (Not Rated)>Koei>>Strategy
Super Daisenryaku (Japan)>Super Daisenryaku (Japan)>1989>Other - NR (Not Rated)>Koei>>Strategy
Super Load Runner (Japan)>Super Load Runner (Japan)>1987>Other - NR (Not Rated)>Irem>>Platform
Super Rambo Special (Japan)>Super Rambo Special (Japan)>1986>Other - NR (Not Rated)>Pack-In-Video>>Shooter
Super Runner (Japan)>Super Runner (Japan)>1987>Other - NR (Not Rated)>Opera House / Pony Canyon>>Action
Super Tritorn (Japan)>Super Tritorn (Japan)>1986>Other - NR (Not Rated)>XAIN>>Action
Taiyou no Shinden - Asteka II (Japan)>Taiyou no Shinden - Asteka II (Japan)>1988>Other - NR (Not Rated)>Zap / Tokyo Shoseki>>Action
Take the A Train (Japan)>Take the A Train (Japan)>1989>Other - NR (Not Rated)>Pony Canyon>>Simulation
Tengoku Yoitoko (Japan)>Tengoku Yoitoko (Japan)>1987>Other - NR (Not Rated)>Taito Corporation>>Role-Playing
Tetris (Japan)>Tetris (Japan)>1987>Other - NR (Not Rated)>AcademySoft / Mirrorsoft>>Puzzle
Title Memory (Japan)>Title Memory (Japan)>1988>Other - NR (Not Rated)>Konami>>Puzzle
Topple Zip (Japan)>Topple Zip (Japan)>1986>Other - NR (Not Rated)>Bothtec / Eaglesoft>>Action
Treasure of Usas, The (Japan, Europe)>Treasure of Usas, The (Japan, Europe)>1987>Other - NR (Not Rated)>Konami>>Action
Tsurikichi Sanpei - Blue Marine Hen (Japan)>Tsurikichi Sanpei - Blue Marine Hen (Japan)>1988>Other - NR (Not Rated)>Victor Interactive Software>>Sports
Turikichi Sampei Turisennin Hen (Japan)>Turikichi Sampei Turisennin Hen (Japan)>1989>Other - NR (Not Rated)>Victor Interactive Software>>Sports
Ultima III - Exodus (Japan)>Ultima III - Exodus (Japan)>1988>Other - NR (Not Rated)>Pony Canyon>>Role-Playing
Urusei Yatsura - Koi no Survival Birthday (Japan)>Urusei Yatsura - Koi no Survival Birthday (Japan)>1987>Other - NR (Not Rated)>Micro Cabin>>Adventure
Vampire Killer (Japan)>Vampire Killer (Japan)>1986>Other - NR (Not Rated)>Konami>>Action
Victorius Nine II (Japan)>Victorius Nine II (Japan)>1988>Other - NR (Not Rated)>Taito Corporation>>Sports
Wizardry - Proving Grounds of Mad Overload (Japan)>Wizardry - Proving Grounds of Mad Overload (Japan)>1987>Other - NR (Not Rated)>ASCII Entertainment>>Role-Playing
Woody Poco (Japan)>Woody Poco (Japan)>1987>Other - NR (Not Rated)>DB Soft>>Action
Woody Poco (Japan)(Translated En)>Woody Poco (Japan)(Translated En)>1987>Other - NR (Not Rated)>DB Soft>>Action
Xevious - Fardraut Saga (Japan)>Xevious - Fardraut Saga (Japan)>1988>Other - NR (Not Rated)>Compile / Namco>>Shoot-'Em-Up
Yaksa (Japan)>Yaksa (Japan)>1987>Other - NR (Not Rated)>Wolf Tam>>Role-Playing
Yuurei Kun (Japan)>Yuurei Kun (Japan)>1988>Other - NR (Not Rated)>System Sacom>>Platform
Zanac-Ex (Japan)>Zanac-Ex (Japan)>1986>Other - NR (Not Rated)>Compile>>Shoot-'Em-Up
Zoids (Japan)>Zoids (Japan)>1987>Other - NR (Not Rated)>Micronics / Toshiba EMI>>Action
Zombie Hunter (Japan)>Zombie Hunter (Japan)>1988>Other - NR (Not Rated)>Hi-Score Media Work>>Action
Zukkoke Yajikita Onmitsudoutyuu (Japan)>Zukkoke Yajikita Onmitsudoutyuu (Japan)>1987>Other - NR (Not Rated)>Hal>>Action
