4 in 1 Row (Europe)>4 in 1 Row (Europe)>1982>HSRS - GA (General Audience)>Philips>>Puzzle
Kinder im Verkehr 2 (Germany)>Kinder im Verkehr 2 (Germany)>1982>HSRS - GA (General Audience)>Philips>>Miscellaneous
Labyrinth Game, A + Supermind (Europe)>Labyrinth Game, A + Supermind (Europe)>1981>HSRS - GA (General Audience)>Philips>>Maze
Las Vegas Blackjack (USA, Europe)>Las Vegas Blackjack (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Casino
Le Tresor Englouti (France)>Le Tresor Englouti (France)>1984>HSRS - GA (General Audience)>Jopac>>Adventure
Loony Balloon (Europe) (Proto)>Loony Balloon (Europe) (Proto)>1984>HSRS - GA (General Audience)>Philips>>Action
Martian Threat (Europe) (Proto)>Martian Threat (Europe) (Proto)>2008>HSRS - GA (General Audience)>GST Video>>Shooter
Matchmaker + Logix + Buzzword (USA)>Matchmaker + Logix + Buzzword (USA)>1978>HSRS - GA (General Audience)>Magnavox>>Puzzle
Math-A-Magic + Echo (USA, Europe)>Math-A-Magic + Echo (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Compilation
Mission Impossible + Programmed Trip (Brazil) (Proto)>Mission Impossible + Programmed Trip (Brazil) (Proto)>2004>HSRS - GA (General Audience)>Ectron>>Action
Monkeyshines (USA, Europe)>Monkeyshines (USA, Europe)>1981>HSRS - GA (General Audience)>Philips>>Action
Morse (Europe)>Morse (Europe)>1982>HSRS - GA (General Audience)>Philips>>Miscellaneous
Moto-Crash (France)>Moto-Crash (France)>1983>HSRS - GA (General Audience)>Magnavox>>Driving
Mousing Cat, The (Europe)>Mousing Cat, The (Europe)>1982>HSRS - GA (General Audience)>Philips>>Action
Mr. Roboto! (USA) (Unl)>Mr. Roboto! (USA) (Unl)>2007>HSRS - GA (General Audience)>Pakrat>>Action
Musician (Europe)>Musician (Europe)>1981>HSRS - GA (General Audience)>Philips>>Miscellaneous
Neutron Star (Europe) (Proto)>Neutron Star (Europe) (Proto)>1983>HSRS - GA (General Audience)>Philips>>Action
Nightfighter (Europe) (Proto)>Nightfighter (Europe) (Proto)>1982>HSRS - GA (General Audience)>GST Video>>Shooter
Nightmare (Europe)>Nightmare (Europe)>1983>HSRS - GA (General Audience)>Philips>>Action
Nimble Numbers Ned (USA)>Nimble Numbers Ned (USA)>1978>HSRS - GA (General Audience)>Philips>>Miscellaneous
Out of this World + Helicopter Rescue (USA)>Out of this World + Helicopter Rescue (USA)>1979>HSRS - GA (General Audience)>Magnavox>>Action
P.T. Barnum's Acrobats (USA)>P.T. Barnum's Acrobats (USA)>1978>HSRS - GA (General Audience)>Philips>>Action
Pachinko (USA, Europe)>Pachinko (USA, Europe)>1980>HSRS - GA (General Audience)>Magnavox>>Casino
Pairs + Space Rendezvous + Logic (Europe)>Pairs + Space Rendezvous + Logic (Europe)>1978>HSRS - GA (General Audience)>Philips>>Compilation
Pick Axe Pete (USA, Europe)>Pick Axe Pete (USA, Europe)>1982>HSRS - GA (General Audience)>Philips>>Action
Pinball (USA) (Proto)>Pinball (USA) (Proto)>2000>HSRS - GA (General Audience)>CGE Services>>Pinball
Planet Lander (USA) (Unl)>Planet Lander (USA) (Unl)>2004>HSRS - GA (General Audience)>Ted Follery>>Action
Playtag (Europe) (Proto)>Playtag (Europe) (Proto)>2009>HSRS - GA (General Audience)>CCC>>Action
Pocket Billiards (USA, Europe)>Pocket Billiards (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Sports/Pool and Dart
Pong (2003) (USA) (Unl)>Pong (2003) (USA) (Unl)>2003>HSRS - GA (General Audience)>Pakrat>>Action
Pong (2004) (USA) (Unl)>Pong (2004) (USA) (Unl)>2004>HSRS - GA (General Audience)>Pakrat>>Action
Popeye (Europe)>Popeye (Europe)>1978>HSRS - GA (General Audience)>Philips>>Action
Power Lords (USA)>Power Lords (USA)>1983>HSRS - GA (General Audience)>Philips>>Action
Puzzle Piece Panic! (USA) (Proto)>Puzzle Piece Panic! (USA) (Proto)>2007>HSRS - GA (General Audience)>Ted Foolery>>Puzzle
Q-Bert (Europe)>Q-Bert (Europe)>1983>HSRS - GA (General Audience)>Parker Bros.>>Action
Quest for the Rings (USA, Europe)>Quest for the Rings (USA, Europe)>1981>HSRS - GA (General Audience)>Philips>>Role-Playing
Red Baron (Europe) (Proto)>Red Baron (Europe) (Proto)>1983>HSRS - GA (General Audience)>Philips>>Flying
Robot City (Europe) (Proto)>Robot City (Europe) (Proto)>2009>HSRS - GA (General Audience)>GST Video>>Action
Route 66 (Europe) (Proto)>Route 66 (Europe) (Proto)>2007>HSRS - GA (General Audience)>Humanoid Games>>Driving
Secret of the Pharaohs (Europe)>Secret of the Pharaohs (Europe)>1981>HSRS - GA (General Audience)>Philips>>Strategy
Shark Hunter (Europe) (Proto)>Shark Hunter (Europe) (Proto)>2006>HSRS - GA (General Audience)>GST Video>>Action
Showdown in 2100 A.D. (USA)>Showdown in 2100 A.D. (USA)>1978>HSRS - GA (General Audience)>Magnavox>>Shooter
Sid the Spellbinder (USA)>Sid the Spellbinder (USA)>1978>HSRS - GA (General Audience)>Philips>>Shooter
Smithereens (USA)>Smithereens (USA)>1982>HSRS - GA (General Audience)>Philips>>Strategy
Speedway + Spin-out + Crypto-logic (USA, Europe)>Speedway + Spin-out + Crypto-logic (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Compilation
Spider-Man (Europe) (Proto)>Spider-Man (Europe) (Proto)>2006>HSRS - GA (General Audience)>Parker Bros.>>Action
Super Bee (Europe)>Super Bee (Europe)>1983>HSRS - GA (General Audience)>Philips>>Action
Super Cobra (Europe)>Super Cobra (Europe)>1983>HSRS - GA (General Audience)>Parker Bros.>>Shooter
Syracuse (France)>Syracuse (France)>1980>HSRS - GA (General Audience)>Magnavox>>Action
Take the Money and Run (USA, Europe)>Take the Money and Run (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Action
Thunderball (USA, Europe)>Thunderball (USA, Europe)>1979>HSRS - GA (General Audience)>Magnavox>>Simulation
Turtles (USA)>Turtles (USA)>1983>HSRS - GA (General Audience)>Philips>>Action
Tutankham (Europe) (Proto)>Tutankham (Europe) (Proto)>2007>HSRS - GA (General Audience)>Parker Bros.>>Action
Type & Tell (USA)>Type & Tell (USA)>1982>HSRS - GA (General Audience)>Philips>>Miscellaneous
UFO (USA)>UFO (USA)>1981>HSRS - GA (General Audience)>Magnavox>>Shooter
Volleyball (USA, Europe)>Volleyball (USA, Europe)>1980>HSRS - GA (General Audience)>Magnavox>>Sports/Volleyball
War of Nerves (USA, Europe)>War of Nerves (USA, Europe)>1979>HSRS - GA (General Audience)>Magnavox>>Strategy
