1942 (1987)(ASCII)(JP)>1942>1987>Other - NR (Not Rated)>Capcom>>shooter
Wizardry #4 The Return of Werdna (1989)(ASCII)(JP)(Disk 2 of 3)>Wizardry #4 The Return of Werdna>>Other - NR (Not Rated)>>>
Wizardry #4 The Return of Werdna (1989)(ASCII)(JP)(Disk 3 of 3)>Wizardry #4 The Return of Werdna>>Other - NR (Not Rated)>>>
Woody Poco (1987)(db-SOFT)(JP)>Woody Poco>>Other - NR (Not Rated)>>>
World Golf II (1987)(ENIX)(JP)>World Golf II>>Other - NR (Not Rated)>>>
Xanadu Scenario I+II (1986)(Falcom)(JP)>Xanadu Scenario I+II>>Other - NR (Not Rated)>>>
Xevious (1984)(Dempa)(JP)>Xevious>>Other - NR (Not Rated)>>>
Yami no Iyo Densetsu (1989)(HOT B)(JP)>Yami no Iyo Densetsu>>Other - NR (Not Rated)>>>
Yellow Lemon (1985)(PSK)(JP)>Yellow Lemon>>Other - NR (Not Rated)>>>
Ys (1985)(PSG)>Ys>>Other - NR (Not Rated)>>>
Ys - Ancient Ys Vanished Omen (1987)(Falcom)(JP)>Ys - Ancient Ys Vanished Omen>>Other - NR (Not Rated)>>>
Ys - Ancient Ys Vanished Omen (1987)(Falcom)(JP)[a]>Ys - Ancient Ys Vanished Omen>>Other - NR (Not Rated)>>>
Ys II - Ancient Ys Vanished - The Final Chapter (1988)(Falcom)(JP)>Ys II - Ancient Ys Vanished - The Final Chapter>>Other - NR (Not Rated)>>>
Yuki (1986)(Omega Systems)(JP)(Disk 1 of 2)>Yuki>>Other - NR (Not Rated)>>>
Yuki (1986)(Omega Systems)(JP)(Disk 2 of 2)>Yuki>>Other - NR (Not Rated)>>>
Yuunagi no Horizon (1986)(Victor)(JP)>Yuunagi no Horizon>>Other - NR (Not Rated)>>>
