4-TRIS (World)>4-TRIS (World)>2000>HSRS - GA (General Audience)>Joseph Zbiciak>>Puzzle
Dreadnaught Factor, The (World)>Dreadnaught Factor, The (World)>1983>HSRS - GA (General Audience)>Activision>>Flying
Duncan's Thin Ice (World)>Duncan\'s Thin Ice (World)>1986>HSRS - GA (General Audience)>Intv Corp>>Puzzle
Electric Company - Math Fun (World)>Electric Company - Math Fun (World)>1978>HSRS - GA (General Audience)>CTW/Mattel>>Educational
Electric Company - Word Fun (World)>Electric Company - Word Fun (World)>1980>HSRS - GA (General Audience)>CTW/Mattel>>Educational
Fathom (World)>Fathom (World)>1983>HSRS - GA (General Audience)>Imagic>>Action
Frog Bog (World)>Frog Bog (World)>1982>HSRS - GA (General Audience)>Mattel>>Action
Frogger (World)>Frogger (World)>1983>HSRS - GA (General Audience)>Parker Bros>>Maze
Game Factory (World)>Game Factory (World)>1983>HSRS - GA (General Audience)>Mattel>>Miscellaneous
Grid Shock (World)>Grid Shock (World)>1982>HSRS - GA (General Audience)>Mattel>>Action
Happy Trails (World)>Happy Trails (World)>1983>HSRS - GA (General Audience)>Activision>>Strategy
Hard Hat (World)>Hard Hat (World)>1983>HSRS - GA (General Audience)>Mattel>>Action
Horse Racing (World)>Horse Racing (World)>1980>HSRS - GA (General Audience)>Mattel>>Sports/Horse Racing
Hover Force (World)>Hover Force (World)>1986>HSRS - GA (General Audience)>Intv Corp>>Flying
Ice Trek (World)>Ice Trek (World)>1983>HSRS - GA (General Audience)>Imagic>>Action
Jetsons, The - Ways With Words (World)>Jetsons, The - Ways With Words (World)>1983>HSRS - GA (General Audience)>Mattel>>Educational
Kool-Aid Man (World)>Kool-Aid Man (World)>1983>HSRS - GA (General Audience)>Mattel>>Platform
Lady Bug (World)>Lady Bug (World)>1983>HSRS - GA (General Audience)>Coleco>>Maze
Land Battle (World)>Land Battle (World)>1982>HSRS - GA (General Audience)>Mattel>>Action
Las Vegas Blackjack and Poker (World)>Las Vegas Blackjack and Poker (World)>1979>HSRS - GA (General Audience)>Mattel>>Casino
Las Vegas Roulette (World)>Las Vegas Roulette (World)>1979>HSRS - GA (General Audience)>Mattel>>Casino
League of Light (World)>League of Light (World)>1983>HSRS - GA (General Audience)>Activision>>Action
Learning Fun I - Math Master Factor Fun (World)>Learning Fun I - Math Master Factor Fun (World)>1987>HSRS - GA (General Audience)>Intv Corp>>Educational
Learning Fun II - Word Wizard Memory Fun (World)>Learning Fun II - Word Wizard Memory Fun (World)>1987>HSRS - GA (General Audience)>Intv Corp>>Educational
Lock 'N' Chase (World)>Lock \'N\' Chase (World)>1982>HSRS - GA (General Audience)>Mattel>>Maze
Loco-Motion (World)>Loco-Motion (World)>1982>HSRS - GA (General Audience)>Mattel>>Puzzle
Magic Carousel (World)>Magic Carousel (World)>1983>HSRS - GA (General Audience)>Intv Corp>>Educational
Major League Baseball (World)>Major League Baseball (World)>1978>HSRS - GA (General Audience)>Mattel>>Sports/Baseball
Masters of the Universe - The Power of He-Man! (World)>Masters of the Universe - The Power of He-Man! (World)>1983>HSRS - GA (General Audience)>Mattel>>Action
Melody Blaster (World)>Melody Blaster (World)>1983>HSRS - GA (General Audience)>Mattel>>Miscellaneous
Meteor (World)>Meteor (World)>1981>HSRS - GA (General Audience)>Mattel>>Shooter
Microsurgeon (World)>Microsurgeon (World)>1982>HSRS - GA (General Audience)>Imagic>>Action
Mind Strike! (World)>Mind Strike! (World)>1982>HSRS - GA (General Audience)>Mattel>>Strategy
Mine Hunter (World)>Mine Hunter (World)>2004>HSRS - GA (General Audience)>IntelligentVision>>Strategy
Mission X (World)>Mission X (World)>1982>HSRS - GA (General Audience)>Mattel>>Flying
Moto-Cross (World)>Moto-Cross (World)>1982>HSRS - GA (General Audience)>Mattel>>Motorcycle
Mountain Madness - Super Pro Skiing (World)>Mountain Madness - Super Pro Skiing (World)>1987>HSRS - GA (General Audience)>Intv Corp>>Sports
Mouse Trap (World)>Mouse Trap (World)>1982>HSRS - GA (General Audience)>Coleco>>Maze
Mr. Basic Meets Bits 'N Bytes (World)>Mr. Basic Meets Bits \'N Bytes (World)>1983>HSRS - GA (General Audience)>Mattel>>Action
NASL Soccer (World)>NASL Soccer (World)>1979>HSRS - GA (General Audience)>Mattel>>Sports/Soccer
NBA Basketball (World)>NBA Basketball (World)>1978>HSRS - GA (General Audience)>Mattel>>Sports/Basketball
NFL Football (World)>NFL Football (World)>1978>HSRS - GA (General Audience)>Mattel>>Sports/Football
NHL Hockey (World)>NHL Hockey (World)>1979>HSRS - GA (General Audience)>Mattel>>Sports/Hockey
Night Stalker (World)>Night Stalker (World)>1982>HSRS - GA (General Audience)>Mattel>>Maze
Nova Blast (World)>Nova Blast (World)>1983>HSRS - GA (General Audience)>Imagic>>Shooter
Number Jumble (World)>Number Jumble (World)>1983>HSRS - GA (General Audience)>Mattel>>Miscellaneous
Pac-Man (World)>Pac-Man (World)>1983>HSRS - GA (General Audience)>Atarisoft>>Maze
PBA Bowling (World)>PBA Bowling (World)>1980>HSRS - GA (General Audience)>Mattel>>Sports/Bowling
PGA Golf (World)>PGA Golf (World)>1979>HSRS - GA (General Audience)>Mattel>>Sports/Golf
Pinball (World)>Pinball (World)>1981>HSRS - GA (General Audience)>Mattel>>Pinball
Pitfall! (World)>Pitfall! (World)>1982>HSRS - GA (General Audience)>Activision>>Platform
Pole Position (World)>Pole Position (World)>1987>HSRS - GA (General Audience)>Intv Corp>>Driving
Popeye (World)>Popeye (World)>1983>HSRS - GA (General Audience)>Parker Bros>>Platform
Q-bert (World)>Q-bert (World)>1983>HSRS - GA (General Audience)>Parker Bros>>Platform
Reversi (World)>Reversi (World)>1981>HSRS - GA (General Audience)>Mattel>>Board Games
River Raid (World)>River Raid (World)>1983>HSRS - GA (General Audience)>Activision>>Flying
Robot Rubble (World)>Robot Rubble (World)>1983>HSRS - GA (General Audience)>Activision>>Action
Royal Dealer (World)>Royal Dealer (World)>1981>HSRS - GA (General Audience)>Mattel>>Casino
Safecracker (World)>Safecracker (World)>1983>HSRS - GA (General Audience)>Imagic>>Action
Same Game & Robots (World)>Same Game & Robots (World)>2005>HSRS - GA (General Audience)>IntelligentVision>>Puzzle
Scooby Doo's Maze Chase (World)>Scooby Doo\'s Maze Chase (World)>1983>HSRS - GA (General Audience)>Mattel>>Maze
Sea Battle (World)>Sea Battle (World)>1980>HSRS - GA (General Audience)>Mattel>>Strategy
Sewer Sam (World)>Sewer Sam (World)>1983>HSRS - GA (General Audience)>Interphase>>Action
Shark! Shark! (World)>Shark! Shark! (World)>1982>HSRS - GA (General Audience)>Mattel>>Action
Sharp Shot (World)>Sharp Shot (World)>1982>HSRS - GA (General Audience)>Mattel>>Miscellaneous
Slam Dunk - Super Pro Basketball (World)>Slam Dunk - Super Pro Basketball (World)>1987>HSRS - GA (General Audience)>Intv Corp>>Sports/Basketball
Slap Shot - Super Pro Hockey (World)>Slap Shot - Super Pro Hockey (World)>1987>HSRS - GA (General Audience)>Intv Corp>>Sports/Hockey
Snafu (World)>Snafu (World)>1981>HSRS - GA (General Audience)>Mattel>>Maze
Space Armada (World)>Space Armada (World)>1981>HSRS - GA (General Audience)>Mattel>>Shooter
Space Battle (World)>Space Battle (World)>1979>HSRS - GA (General Audience)>Mattel>>Shooter
Space Cadet (World)>Space Cadet (World)>1982>HSRS - GA (General Audience)>Mattel>>Action
Space Hawk (World)>Space Hawk (World)>1981>HSRS - GA (General Audience)>Mattel>>Shooter
Space Spartans (World)>Space Spartans (World)>1981>HSRS - GA (General Audience)>Mattel>>Strategy
Spiker! - Super Pro Volleyball (World)>Spiker! - Super Pro Volleyball (World)>1988>HSRS - GA (General Audience)>Intv Corp>>Sports/Volleyball
Stadium Mud Buggies (World)>Stadium Mud Buggies (World)>1988>HSRS - GA (General Audience)>Intv Corp>>Driving
Stampede (World)>Stampede (World)>1982>HSRS - GA (General Audience)>Activision>>Miscellaneous
Star Strike (World)>Star Strike (World)>1981>HSRS - GA (General Audience)>Mattel>>Flying
Star Wars - The Empire Strikes Back (World)>Star Wars - The Empire Strikes Back (World)>1983>HSRS - GA (General Audience)>Parker Bros>>Shooter
Stonix (World)>Stonix (World)>2004>HSRS - GA (General Audience)>IntelligentVision>>Action
Sub Hunt (World)>Sub Hunt (World)>1981>HSRS - GA (General Audience)>Mattel>>Simulation
Super Cobra (World)>Super Cobra (World)>1983>HSRS - GA (General Audience)>Konami>>Shooter
Super Pro Decathlon (World)>Super Pro Decathlon (World)>1988>HSRS - GA (General Audience)>Intv Corp>>Sports/Track & Field
Super Pro Football (World)>Super Pro Football (World)>1986>HSRS - GA (General Audience)>Intv Corp>>Sports/Football
Swords & Serpents (World)>Swords & Serpents (World)>1982>HSRS - GA (General Audience)>Imagic>>Role-Playing
Takeover (World)>Takeover (World)>1982>HSRS - GA (General Audience)>Mattel>>Strategy
Tennis (World)>Tennis (World)>1980>HSRS - GA (General Audience)>Mattel>>Sports/Tennis
Thunder Castle (World)>Thunder Castle (World)>1986>HSRS - GA (General Audience)>Intv Corp>>Maze
Tower of Doom (World)>Tower of Doom (World)>1986>HSRS - GA (General Audience)>Intv Corp>>Role-Playing
Triple Action (World)>Triple Action (World)>1981>HSRS - GA (General Audience)>Mattel>>Miscellaneous
Triple Challenge (World)>Triple Challenge (World)>1986>HSRS - GA (General Audience)>Intv Corp>>Board Games
TRON - Deadly Discs (World)>TRON - Deadly Discs (World)>1981>HSRS - GA (General Audience)>Mattel>>Action
TRON - Maze-A-Tron (World)>TRON - Maze-A-Tron (World)>1981>HSRS - GA (General Audience)>Mattel>>Maze
TRON - Solar Sailer (World)>TRON - Solar Sailer (World)>1982>HSRS - GA (General Audience)>Mattel>>Action
Tropical Trouble (World)>Tropical Trouble (World)>1982>HSRS - GA (General Audience)>Imagic>>Platform
Truckin' (World)>Truckin\' (World)>1983>HSRS - GA (General Audience)>Imagic>>Driving
Turbo (World)>Turbo (World)>1983>HSRS - GA (General Audience)>Coleco>>Driving
Tutankham (World)>Tutankham (World)>1983>HSRS - GA (General Audience)>Parker Bros>>Maze
U.S. Ski Team Skiing (World)>U.S. Ski Team Skiing (World)>1980>HSRS - GA (General Audience)>Mattel>>Skiing/Sports
USCF Chess (World)>USCF Chess (World)>1981>HSRS - GA (General Audience)>Mattel>>Board Games
Utopia (World)>Utopia (World)>1981>HSRS - GA (General Audience)>Mattel>>Strategy
Vectron (World)>Vectron (World)>1982>HSRS - GA (General Audience)>Mattel>>Action
Venture (World)>Venture (World)>1982>HSRS - GA (General Audience)>Coleco>>Maze
White Water! (World)>White Water! (World)>1983>HSRS - GA (General Audience)>Imagic>>Miscellaneous
World Championship Baseball (World)>World Championship Baseball (World)>1986>HSRS - GA (General Audience)>Intv Corp>>Baseball/Sports
World Cup Soccer (World)>World Cup Soccer (World)>1985>HSRS - GA (General Audience)>Nice Ideas>>Soccer/Sports
World Series Major League Baseball (World)>World Series Major League Baseball (World)>1982>HSRS - GA (General Audience)>Mattel>>Sports/Baseball
Worm Whomper (World)>Worm Whomper (World)>1983>HSRS - GA (General Audience)>Activision>>Shooter
Zaxxon (World)>Zaxxon (World)>1982>HSRS - GA (General Audience)>Coleco>>Shooter
