3D Monster Craze (1983)(Camsoft)(GB)>3D Monster Craze (1983)(Camsoft)(GB)>>Other - NR (Not Rated)
Compass v1.1 (1983)(Level 9 Computing)[b]>Compass v1.1 (1983)(Level 9 Computing)[b]>>Other - NR (Not Rated)
Copys (19xx)(-)(96K-128K)>Copys (19xx)(-)(96K-128K)>>Other - NR (Not Rated)
Copys (19xx)(-)(96K-128K)[a]>Copys (19xx)(-)(96K-128K)[a]>>Other - NR (Not Rated)
CPM v2.2 (19xx)(Digital Research)(128K)>CPM v2.2 (19xx)(Digital Research)(128K)>>Other - NR (Not Rated)
Dam Busters (1983)(Camsoft)(96K)(GB)(fr)>Dam Busters (1983)(Camsoft)(96K)(GB)(fr)>>Other - NR (Not Rated)
Dam Busters (1983)(Camsoft)(GB)>Dam Busters (1983)(Camsoft)(GB)>>Other - NR (Not Rated)
Deathball (1983)(Miller, A.)(GB)>Deathball (1983)(Miller, A.)(GB)>>Other - NR (Not Rated)
Diggerman (19xx)(Gem Software)(GB)>Diggerman (19xx)(Gem Software)(GB)>>Other - NR (Not Rated)
Disassembler (19xx)(-)(48K-96K-128K)(FR)>Disassembler (19xx)(-)(48K-96K-128K)(FR)>>Other - NR (Not Rated)
Dungeon Adventure (1983)(Level 9 Computing)(Tape 1 of 5)[welcome]>Dungeon Adventure (1983)(Level 9 Computing)(Tape 1 of 5)[welcome]>>Other - NR (Not Rated)
Dungeon Adventure (1983)(Level 9 Computing)(Tape 2 of 5)[binary loader]>Dungeon Adventure (1983)(Level 9 Computing)(Tape 2 of 5)[binary loader]>>Other - NR (Not Rated)
Dungeon Adventure (1983)(Level 9 Computing)(Tape 3 of 5)[adventure data]>Dungeon Adventure (1983)(Level 9 Computing)(Tape 3 of 5)[adventure data]>>Other - NR (Not Rated)
Dungeon Adventure (1983)(Level 9 Computing)(Tape 4 of 5)[adventure data]>Dungeon Adventure (1983)(Level 9 Computing)(Tape 4 of 5)[adventure data]>>Other - NR (Not Rated)
Dungeon Adventure (1983)(Level 9 Computing)(Tape 5 of 5)[adventure data]>Dungeon Adventure (1983)(Level 9 Computing)(Tape 5 of 5)[adventure data]>>Other - NR (Not Rated)
Floyds Bank (1983)(Romik Software)(GB)>Floyds Bank (1983)(Romik Software)(GB)>>Other - NR (Not Rated)
Gempack 4 (1983)(Gem Software)(GB)>Gempack 4 (1983)(Gem Software)(GB)>>Other - NR (Not Rated)
Generateur Basic (1984)(Aussage, C.)(FR)>Generateur Basic (1984)(Aussage, C.)(FR)>>Other - NR (Not Rated)
Generateur de Caracteres (19xx)(-)(96K)(FR)>Generateur de Caracteres (19xx)(-)(96K)(FR)>>Other - NR (Not Rated)
Gobble de Spook (1983)(Camsoft)(GB)>Gobble de Spook (1983)(Camsoft)(GB)>>Other - NR (Not Rated)
Gridtrap (19xx)(-)(FR)>Gridtrap (19xx)(-)(FR)>>Other - NR (Not Rated)
Hyperbolic Functions (19xx)(-)[b]>Hyperbolic Functions (19xx)(-)[b]>>Other - NR (Not Rated)
Inteltab (1984)(Sauget, A.)(96K-128K)(FR)>Inteltab (1984)(Sauget, A.)(96K-128K)(FR)>>Other - NR (Not Rated)
Labyrinthe (19xx)(Quazar Computing)(48K-96K-128K)(GB)(fr)>Labyrinthe (19xx)(Quazar Computing)(48K-96K-128K)(GB)(fr)>>Other - NR (Not Rated)
Lion Text (19xx)(Lion-Soft)>Lion Text (19xx)(Lion-Soft)>>Other - NR (Not Rated)
Logichess v2.2 (1983)(Danielsen, Kaare - Ekner, Hartvig)(96K)>Logichess v2.2 (1983)(Danielsen, Kaare - Ekner, Hartvig)(96K)>>Other - NR (Not Rated)
Lynx Composer (1983)(Kennedy, Mike)(96K)[b glitched graphics]>Lynx Composer (1983)(Kennedy, Mike)(96K)[b glitched graphics]>>Other - NR (Not Rated)
Lynx Disassembler v1.1 (19xx)(Camputers)(48K-96K-128K)(GB)(fr)>Lynx Disassembler v1.1 (19xx)(Camputers)(48K-96K-128K)(GB)(fr)>>Other - NR (Not Rated)
Lynx Hangman (1983)(French, Steven B.)>Lynx Hangman (1983)(French, Steven B.)>>Other - NR (Not Rated)
Lynx Invaders (1983)(Camsoft)(GB)>Lynx Invaders (1983)(Camsoft)(GB)>>Other - NR (Not Rated)
Lynx JM Utilities Disk v1.0 (1989-11-09)(Koushappas, John)(96K-128K)(GB)>Lynx JM Utilities Disk v1.0 (1989-11-09)(Koushappas, John)(96K-128K)(GB)>>Other - NR (Not Rated)
Lynx Revival Group - Volume 1 (1988-08-24)(Koushappas, John)(GB)>Lynx Revival Group - Volume 1 (1988-08-24)(Koushappas, John)(GB)>>Other - NR (Not Rated)
Mastermind (19xx)(-)(96K)(FR)>Mastermind (19xx)(-)(96K)(FR)>>Other - NR (Not Rated)
Maths (19xx)(-)(FR)>Maths (19xx)(-)(FR)>>Other - NR (Not Rated)
Mazeman (1983)(Abersoft)(GB)>Mazeman (1983)(Abersoft)(GB)>>Other - NR (Not Rated)
Mined Out (1983)(Camsoft)(GB)>Mined Out (1983)(Camsoft)(GB)>>Other - NR (Not Rated)
MODER-80 v1.0 (1983)(Seven Stars Publishing)(GB)>MODER-80 v1.0 (1983)(Seven Stars Publishing)(GB)>>Other - NR (Not Rated)
Moonfall (1983)(Camsoft)(GB)>Moonfall (1983)(Camsoft)(GB)>>Other - NR (Not Rated)
Moonfall (1983)(Camsoft)(GB)(fr)>Moonfall (1983)(Camsoft)(GB)(fr)>>Other - NR (Not Rated)
Moonfall (1983)(Camsoft)(GB)[instructions only]>Moonfall (1983)(Camsoft)(GB)[instructions only]>>Other - NR (Not Rated)
Muncher (1983-06-09)(Gordon, Robert)>Muncher (1983-06-09)(Gordon, Robert)>>Other - NR (Not Rated)
Music Master (19xx)(Camsoft)(GB)>Music Master (19xx)(Camsoft)(GB)>>Other - NR (Not Rated)
Numerons (1983)(Camsoft)(96K)(GB)(fr)>Numerons (1983)(Camsoft)(96K)(GB)(fr)>>Other - NR (Not Rated)
Numerons (1983)(Camsoft)(GB)(fr)>Numerons (1983)(Camsoft)(GB)(fr)>>Other - NR (Not Rated)
Numerons (1983)(Camsoft)(GB)(fr)[b freezes after loading]>Numerons (1983)(Camsoft)(GB)(fr)[b freezes after loading]>>Other - NR (Not Rated)
Odysee d'Asterix, L' (19xx)(La Bibliotheque de Cintre)(96K)(FR)>Odysee d'Asterix, L' (19xx)(La Bibliotheque de Cintre)(96K)(FR)>>Other - NR (Not Rated)
Oh Mummy!! (1983)(Gem Software)(GB)>Oh Mummy!! (1983)(Gem Software)(GB)>>Other - NR (Not Rated)
Panik (19xx)(Judd, M.D.)(96K)(Tape 1 of 2)[cr T.A.G.][b]>Panik (19xx)(Judd, M.D.)(96K)(Tape 1 of 2)[cr T.A.G.][b]>>Other - NR (Not Rated)
Panik (19xx)(Judd, M.D.)(96K)(Tape 2 of 2)[cr T.A.G.][b]>Panik (19xx)(Judd, M.D.)(96K)(Tape 2 of 2)[cr T.A.G.][b]>>Other - NR (Not Rated)
Panik (19xx)(Judd, M.D.)[b]>Panik (19xx)(Judd, M.D.)[b]>>Other - NR (Not Rated)
Pengo (1984)(Play It!)>Pengo (1984)(Play It!)>>Other - NR (Not Rated)
Play Your Cards Right (19xx)(-)(96K)>Play Your Cards Right (19xx)(-)(96K)>>Other - NR (Not Rated)
Pontoon (1983)(Gem Software)(48K-96K-128K)(GB)>Pontoon (1983)(Gem Software)(48K-96K-128K)(GB)>>Other - NR (Not Rated)
Power Blaster (1983)(Camsoft)(GB)>Power Blaster (1983)(Camsoft)(GB)>>Other - NR (Not Rated)
Programme Chopin (19xx)(-)(96K-128K)(FR)>Programme Chopin (19xx)(-)(96K-128K)(FR)>>Other - NR (Not Rated)
Programme Chopin (19xx)(-)(FR)>Programme Chopin (19xx)(-)(FR)>>Other - NR (Not Rated)
Quest (19xx)(-)[b]>Quest (19xx)(-)[b]>>Other - NR (Not Rated)
Racer (1983)(Camsoft)(GB)>Racer (1983)(Camsoft)(GB)>>Other - NR (Not Rated)
Reversi (1983)(Hunt, C.)>Reversi (1983)(Hunt, C.)>>Other - NR (Not Rated)
Reversi (1983)(Hunt, C.)(Tape 1 of 2)[loader]>Reversi (1983)(Hunt, C.)(Tape 1 of 2)[loader]>>Other - NR (Not Rated)
Reversi (1983)(Hunt, C.)(Tape 2 of 2)[game]>Reversi (1983)(Hunt, C.)(Tape 2 of 2)[game]>>Other - NR (Not Rated)
Rocketman - A Pair of Number Games for Kids (1983)(Bamby Software)>Rocketman - A Pair of Number Games for Kids (1983)(Bamby Software)>>Other - NR (Not Rated)
Scrablynx (1985)(Sauget, Alain)(96K)(FR)>Scrablynx (1985)(Sauget, Alain)(96K)(FR)>>Other - NR (Not Rated)
Sketch Pad (1984)(Camputers)(48K-96K-128K)(GB)>Sketch Pad (1984)(Camputers)(48K-96K-128K)(GB)>>Other - NR (Not Rated)
Snake (1983)(Hunt, C.)>Snake (1983)(Hunt, C.)>>Other - NR (Not Rated)
Snake (1983)(Hunt, C.)[a]>Snake (1983)(Hunt, C.)[a]>>Other - NR (Not Rated)
Space Trek (1983)(Quazar Computing)(GB)>Space Trek (1983)(Quazar Computing)(GB)>>Other - NR (Not Rated)
Spellbound (1983)(Smith, G.)>Spellbound (1983)(Smith, G.)>>Other - NR (Not Rated)
Star Rover (1983-06)(Lynx User)(48K-96K-128K)>Star Rover (1983-06)(Lynx User)(48K-96K-128K)>>Other - NR (Not Rated)
Test (19xx)(-)(fr)>Test (19xx)(-)(fr)>>Other - NR (Not Rated)
Treasure Island (1983)(Higgins, Neil)(Tape 1 of 2)[loader]>Treasure Island (1983)(Higgins, Neil)(Tape 1 of 2)[loader]>>Other - NR (Not Rated)
Treasure Island (1983)(Higgins, Neil)(Tape 2 of 2)[game]>Treasure Island (1983)(Higgins, Neil)(Tape 2 of 2)[game]>>Other - NR (Not Rated)
Tron Blocker (198x)(Sawyer, Stephen)(96K)(GB)(fr)>Tron Blocker (198x)(Sawyer, Stephen)(96K)(GB)(fr)>>Other - NR (Not Rated)
Twinkle (1983)(Gem Software)>Twinkle (1983)(Gem Software)>>Other - NR (Not Rated)
Worm, The (1983)(Quazar Computing)(96K)(GB)(fr)>Worm, The (1983)(Quazar Computing)(96K)(GB)(fr)>>Other - NR (Not Rated)
Worm, The (1983)(Quazar Computing)(GB)>Worm, The (1983)(Quazar Computing)(GB)>>Other - NR (Not Rated)
Zombie Panic (19xx)(-)(FR)>Zombie Panic (19xx)(-)(FR)>>Other - NR (Not Rated)
