3D Tanks (Europe)>3D Tanks (Europe)>>Other - NR (Not Rated)>>…>Shooter
Castle Black Heart (Europe)>Castle Black Heart (Europe)>1991>Other - NR (Not Rated)>Watson, James>>Adventure
Cataclysm (Europe) (Disk 1)>Cataclysm (Europe) (Disk 1)>1991>Other - NR (Not Rated)>4th Dimension>>Puzzle
Cataclysm (Europe) (Disk 2)>Cataclysm (Europe) (Disk 2)>1991>Other - NR (Not Rated)>4th Dimension>>Puzzle
Cheats 1 (Europe)>Cheats 1 (Europe)>>Other - NR (Not Rated)>>>
Chess 3D (Europe)>Chess 3D (Europe)>1991>Other - NR (Not Rated)>Micro Power>>Board Games
Chocks Away (Europe) (Disk 1) (Game Disk)>Chocks Away (Europe) (Disk 1) (Game Disk)>1990>Other - NR (Not Rated)>Hutchings, Andrew>>Flying
Chocks Away (Europe) (Disk 2) (Maps Disk)>Chocks Away (Europe) (Disk 2) (Maps Disk)>1990>Other - NR (Not Rated)>Hutchings, Andrew>>Flying
Chocks Away (Europe) (Disk 3) (Mission Addon)>Chocks Away (Europe) (Disk 3) (Mission Addon)>1990>Other - NR (Not Rated)>Hutchings, Andrew>>Flying
Chuck Rock (Europe) (Disk 1)>Chuck Rock (Europe) (Disk 1)>1991>Other - NR (Not Rated)>Core Design>>Platformer
Chuck Rock (Europe) (Disk 2)>Chuck Rock (Europe) (Disk 2)>1991>Other - NR (Not Rated)>Core Design>>Platformer
Coconizer (Europe)>Coconizer (Europe)>1990>Other - NR (Not Rated)>Playfield>>
Colour Umoria (Europe)>Colour Umoria (Europe)>1992>Other - NR (Not Rated)>Poor, Edouard>>
Conqueror (Europe)>Conqueror (Europe)>1988>Other - NR (Not Rated)>Superior Software>>Shooter
Corewars (Europe)>Corewars (Europe)>>Other - NR (Not Rated)>>>
Corruption (Europe) [b]>Corruption (Europe) [b]>1988>Other - NR (Not Rated)>Magnetic Scrolls>>Adventure
Creepie Crawlie 1 & 2 (Europe)>Creepie Crawlie 1 & 2 (Europe)>>Other - NR (Not Rated)>Johnson, Mark>>
Crystal Maze, The (Europe) (Demo) [b]>Crystal Maze, The (Europe) (Demo) [b]>1993>Other - NR (Not Rated)>Digital Jellyfish Design>>Puzzle
DesktopHacker (Europe)>DesktopHacker (Europe)>1994>Other - NR (Not Rated)>DoggySoft>>
DinoSaw (Europe)>DinoSaw (Europe)>1993>Other - NR (Not Rated)>Cooper, Tom>>Platformer
E-Type (Europe) (Disk 1)>E-Type (Europe) (Disk 1)>1989>Other - NR (Not Rated)>Key, Gordon J.>>Driving
E-Type (Europe) (Disk 2)>E-Type (Europe) (Disk 2)>1989>Other - NR (Not Rated)>Key, Gordon J.>>Driving
Elite (Europe)>Elite (Europe)>1991>Other - NR (Not Rated)>Hybrid Technology>>Simulation
Enigma (Europe)>Enigma (Europe)>1993>Other - NR (Not Rated)>Trax Software>>Puzzle
Fervour (Europe) [b]>Fervour (Europe) [b]>>Other - NR (Not Rated)>Hersee, Andrew>>Action
Fireball II (Europe)>Fireball II (Europe)>1990>Other - NR (Not Rated)>Cambridge International Software>>Action
Fireball II Extra (Europe)>Fireball II Extra (Europe)>1990>Other - NR (Not Rated)>Cambridge International Software>>Action
Flashback (Europe) (Demo)>Flashback (Europe) (Demo)>1992>Other - NR (Not Rated)>Delphine Software International>>Platformer
Fruitz (Europe)>Fruitz (Europe)>>Other - NR (Not Rated)>Digital Fantasy>>
Gorm (Europe)>Gorm (Europe)>1994>Other - NR (Not Rated)>Archimedes World>>Adventure
Guile (Europe)>Guile (Europe)>1992>Other - NR (Not Rated)>Dream>>Action
Gyrinus II - Son of Gyrinus (Europe) (Disk 1)>Gyrinus II - Son of Gyrinus (Europe) (Disk 1)>>Other - NR (Not Rated)>Cooper, Tom>>
Gyrinus II - Son of Gyrinus (Europe) (Disk 2)>Gyrinus II - Son of Gyrinus (Europe) (Disk 2)>>Other - NR (Not Rated)>Cooper, Tom>>
Hacker, The (Europe)>Hacker, The (Europe)>1993>Other - NR (Not Rated)>DoggySoft>>
Hamsters (Europe) (Demo)>Hamsters (Europe) (Demo)>1994>Other - NR (Not Rated)>GamesWare>>Platformer
Hero Quest (Europe) [h]>Hero Quest (Europe) [h]>1991>Other - NR (Not Rated)>221B Software Development>>Role-Playing
Impression Jr (Europe)>Impression Jr (Europe)>>Other - NR (Not Rated)>Computer Concepts>>
Interdictor 2 (Europe)>Interdictor 2 (Europe)>1989>Other - NR (Not Rated)>Clares Micro Supplies>>Flying
Iron Lord (Europe)>Iron Lord (Europe)>1990>Other - NR (Not Rated)>Ubisoft>>Strategy
Ixion (Europe) (Disk 1)>Ixion (Europe) (Disk 1)>1992>Other - NR (Not Rated)>Software 42>>Shooter
Ixion (Europe) (Disk 2)>Ixion (Europe) (Disk 2)>1992>Other - NR (Not Rated)>Software 42>>Shooter
James Pond (Europe)>James Pond (Europe)>1990>Other - NR (Not Rated)>Vectordean>>Platformer
Jet Fighter (Europe)>Jet Fighter (Europe)>1988>Other - NR (Not Rated)>Minerva Software>>Shooter
Leeds Utd - Champions! (Europe)>Leeds Utd - Champions! (Europe)>1993>Other - NR (Not Rated)>Strategy Software Designs>>Sports/Soccer
Lemmings (Europe)>Lemmings (Europe)>1991>Other - NR (Not Rated)>DMA Design>>Puzzle
Mad Professor Mariarti (Europe)>Mad Professor Mariarti (Europe)>1990>Other - NR (Not Rated)>Krisalis Software>>Platformer
MadDash 2 (Europe)>MadDash 2 (Europe)>2001>Other - NR (Not Rated)>Hampton, Ian>>
Manchester United Europe (Europe)>Manchester United Europe (Europe)>1991>Other - NR (Not Rated)>Krisalis Software>>Sports/Soccer
Master Break (Europe)>Master Break (Europe)>>Other - NR (Not Rated)>Superior Software>>
MicroPower Chess (Europe)>MicroPower Chess (Europe)>>Other - NR (Not Rated)>MicroPower>>Board Games
MiG-29 Fulcrum (Europe)>MiG-29 Fulcrum (Europe)>1991>Other - NR (Not Rated)>Simis>>Flying
Moonquake (Europe) [h]>Moonquake (Europe) [h]>1992>Other - NR (Not Rated)>Taylor, Paul>>Puzzle
Mr. Doo (Europe)>Mr. Doo (Europe)>1994>Other - NR (Not Rated)>Archimedes World>>Puzzle
Nebulus (Europe)>Nebulus (Europe)>1992>Other - NR (Not Rated)>Hewson>>Platformer
Newlook (Europe)>Newlook (Europe)>1993>Other - NR (Not Rated)>Acorn>>
Oddball (Europe)>Oddball (Europe)>1995>Other - NR (Not Rated)>Digital Psychosis>>Action
Oh, No! More Lemmings! (Europe)>Oh, No! More Lemmings! (Europe)>1992>Other - NR (Not Rated)>DMA Design>>Puzzle
Pac-Mania (Europe)>Pac-Mania (Europe)>1991>Other - NR (Not Rated)>Namco>>Action
Paradroid 2000 (Europe)>Paradroid 2000 (Europe)>1985>Other - NR (Not Rated)>Hewson>>Shooter
PD Lemings (Europe)>PD Lemings (Europe)>>Other - NR (Not Rated)>Cooper, Tom>>
Pen Down (Europe)>Pen Down (Europe)>1992>Other - NR (Not Rated)>Logotron>>
Pipemania (Europe)>Pipemania (Europe)>1988>Other - NR (Not Rated)>The Assembly Line>>Puzzle
Poizone (Europe)>Poizone (Europe)>1991>Other - NR (Not Rated)>ArcAngels>>Platformer
Populous (Europe)>Populous (Europe)>1989>Other - NR (Not Rated)>Bullfrog Productions>>Strategy
Punters Predictor, The (Europe)>Punters Predictor, The (Europe)>>Other - NR (Not Rated)>>>
Repton 3 (Europe)>Repton 3 (Europe)>1988>Other - NR (Not Rated)>Superior Software>>Puzzle
Repton 4 - EGO (Europe)>Repton 4 - EGO (Europe)>1992>Other - NR (Not Rated)>Superior Software>>Puzzle
SimCity (Europe)>SimCity (Europe)>1993>Other - NR (Not Rated)>Maxis Software>>Strategy
Simon the Sorcerer (Europe) (Disk 1)>Simon the Sorcerer (Europe) (Disk 1)>1994>Other - NR (Not Rated)>Adventuresoft>>Adventure
Simon the Sorcerer (Europe) (Disk 10)>Simon the Sorcerer (Europe) (Disk 10)>1994>Other - NR (Not Rated)>Adventuresoft>>Adventure
Simon the Sorcerer (Europe) (Disk 2)>Simon the Sorcerer (Europe) (Disk 2)>1994>Other - NR (Not Rated)>Adventuresoft>>Adventure
Simon the Sorcerer (Europe) (Disk 3)>Simon the Sorcerer (Europe) (Disk 3)>1994>Other - NR (Not Rated)>Adventuresoft>>Adventure
Simon the Sorcerer (Europe) (Disk 4)>Simon the Sorcerer (Europe) (Disk 4)>1994>Other - NR (Not Rated)>Adventuresoft>>Adventure
Simon the Sorcerer (Europe) (Disk 5)>Simon the Sorcerer (Europe) (Disk 5)>1994>Other - NR (Not Rated)>Adventuresoft>>Adventure
Simon the Sorcerer (Europe) (Disk 6)>Simon the Sorcerer (Europe) (Disk 6)>1994>Other - NR (Not Rated)>Adventuresoft>>Adventure
Simon the Sorcerer (Europe) (Disk 7)>Simon the Sorcerer (Europe) (Disk 7)>1994>Other - NR (Not Rated)>Adventuresoft>>Adventure
Simon the Sorcerer (Europe) (Disk 8)>Simon the Sorcerer (Europe) (Disk 8)>1994>Other - NR (Not Rated)>Adventuresoft>>Adventure
Simon the Sorcerer (Europe) (Disk 9)>Simon the Sorcerer (Europe) (Disk 9)>1994>Other - NR (Not Rated)>Adventuresoft>>Adventure
Son of Gyrinus (Europe) (Disk 1)>Son of Gyrinus (Europe) (Disk 1)>>Other - NR (Not Rated)>Cooper, Tom>>
Son of Gyrinus (Europe) (Disk 2)>Son of Gyrinus (Europe) (Disk 2)>>Other - NR (Not Rated)>Cooper, Tom>>
Speedball 2 - Brutal Deluxe (Europe)>Speedball 2 - Brutal Deluxe (Europe)>1992>Other - NR (Not Rated)>The Bitmap Brothers>>Sports
Star Fighter 3000 (Europe)>Star Fighter 3000 (Europe)>1994>Other - NR (Not Rated)>Fednet Software>>Shooter
Starch (Europe)>Starch (Europe)>1990>Other - NR (Not Rated)>Alien Images>>Action
Startwrite (Europe) [b]>Startwrite (Europe) [b]>1992>Other - NR (Not Rated)>Icon Technology>>
Stunt Racer (Europe) (Disk 2)>Stunt Racer (Europe) (Disk 2)>>Other - NR (Not Rated)>4th Dimension>>Driving
Super Pool (Europe)>Super Pool (Europe)>1991>Other - NR (Not Rated)>4th Dimension>>Sports/Pool and Dart
Superior (Europe) (Disk 1)>Superior (Europe) (Disk 1)>1993>Other - NR (Not Rated)>Superior Software>>
Superior (Europe) (Disk 2)>Superior (Europe) (Disk 2)>1993>Other - NR (Not Rated)>Superior Software>>
Superior Golf (Europe)>Superior Golf (Europe)>1990>Other - NR (Not Rated)>Superior Software>>Sports/Golf
SWIV (Europe)>SWIV (Europe)>1992>Other - NR (Not Rated)>Krisalis Software>>Shooter
Talisman (Europe)>Talisman (Europe)>1989>Other - NR (Not Rated)>Minerva Software>>Action
Terramex (Europe)>Terramex (Europe)>1987>Other - NR (Not Rated)>Krisalis Software>>Adventure
Time Zone (Europe)>Time Zone (Europe)>>Other - NR (Not Rated)>Cobra>>
Top Banana (Europe)>Top Banana (Europe)>1991>Other - NR (Not Rated)>Hex>>Platformer
Tower of Babel (Europe)>Tower of Babel (Europe)>1991>Other - NR (Not Rated)>MicroProse>>Action
Trivial Pursuit (Europe)>Trivial Pursuit (Europe)>1989>Other - NR (Not Rated)>Domark>>Board Games
Twinworld (Europe)>Twinworld (Europe)>1991>Other - NR (Not Rated)>Blue Byte>>Platformer
Warlocks (Europe) (Demo) [b]>Warlocks (Europe) (Demo) [b]>1993>Other - NR (Not Rated)>Network XXIII>>Platform
White Magic (Europe)>White Magic (Europe)>1989>Other - NR (Not Rated)>4th Dimension>>Action
White Magic 2 (Europe)>White Magic 2 (Europe)>1989>Other - NR (Not Rated)>4th Dimension>>Action
WIMP Game, The (Europe)>WIMP Game, The (Europe)>1990>Other - NR (Not Rated)>4th Dimension>>Action
Wolfenstein 3D (Europe) (Disk 1) [b]>Wolfenstein 3D (Europe) (Disk 1) [b]>1994>Other - NR (Not Rated)>id Software>>Shooter
Wolfenstein 3D (Europe) (Disk 2) [b]>Wolfenstein 3D (Europe) (Disk 2) [b]>1994>Other - NR (Not Rated)>id Software>>Shooter
Wolfenstein 3D (Europe) (Disk 3) [b]>Wolfenstein 3D (Europe) (Disk 3) [b]>1994>Other - NR (Not Rated)>id Software>>Shooter
World Championship Boxing Manager (Europe)>World Championship Boxing Manager (Europe)>1991>Other - NR (Not Rated)>Goliath Games>>
Zool (Europe) (Disk 1)>Zool (Europe) (Disk 1)>1993>Other - NR (Not Rated)>Gremlin Graphics>>Platformer
Zool (Europe) (Disk 2)>Zool (Europe) (Disk 2)>1993>Other - NR (Not Rated)>Gremlin Graphics>>Platformer
